position,№,wikipedia_link,Bakan,Görev Başlangıcı,Görev Bitişi,Parti,column_5,Bakan Yardımcısı,birth_year,birth_place,birth_date
Minister of Interior,1,https://tr.wikipedia.org/wiki/Osman_G%C3%BCne%C5%9F,,7 Ocak 2012,18 Aralık 2015,,,Osman Güneş,,,
Minister of Interior,2,https://tr.wikipedia.org/wiki/Sebahattin_%C3%96zt%C3%BCrk,,18 Aralık 2015,20 Haziran 2017,,,Sebahattin Öztürk,,,
Minister of Interior,3,https://tr.wikipedia.org/wiki/Mehmet_Ersoy_(Sinop_do%C4%9Fumlu),,21 Haziran 2017,22 Haziran 2023,,,Mehmet Ersoy,1964,"Boyabat, Sinop, Türkiye","26 Nisan 1964 (61 yaşında)Boyabat, Sinop, Türkiye"
Minister of Interior,4,https://tr.wikipedia.org/wiki/Muhterem_%C4%B0nce,,8 Ağustos 2018,30 Haziran 2022,,,Muhterem İnce,1970,"Çanakkale, Türkiye","30 Ağustos 1970 (55 yaşında)Çanakkale, Türkiye"
Minister of Interior,Prof. Dr. Tayyip Sabri Erdil,https://tr.wikipedia.org/wiki/Tayyip_Sabri_Erdil,,22 Haziran 2023,,,,8 Ağustos 2018,1962,"Çaykara, Trabzon, Türkiye","1962 (63-64 yaşında)Çaykara, Trabzon, Türkiye"
Minister of Interior,İsmail Çataklı,https://tr.wikipedia.org/wiki/%C4%B0smail_%C3%87atakl%C4%B1,,22 Haziran 2023,,,,8 Ağustos 2018,1974,"Yapraklı, Çankırı",
Minister of Interior,5,https://tr.wikipedia.org/wiki/B%C3%BClent_Turan,,22 Haziran 2023,Görevde,,,Bülent Turan,1975,"Lapseki, Çanakkale, Türkiye","17 Ocak 1975 (51 yaşında)Lapseki, Çanakkale, Türkiye"
Minister of Interior,Mehmet Aktaş,https://tr.wikipedia.org/wiki/Mehmet_Akta%C5%9F,,Görevde,,,,22 Haziran 2023,1968,"Elazığ, Türkiye","1968 (57-58 yaşında)Elazığ, Türkiye"
Minister of Interior,Münir Karaloğlu,https://tr.wikipedia.org/wiki/M%C3%BCnir_Karalo%C4%9Flu,,Görevde,,,,22 Haziran 2023,1964,"Rize, Türkiye","1964 (61-62 yaşında)Rize, Türkiye"
Minister of Interior,Mehmet Sağlam,,,Görevde,,,,22 Haziran 2023,,,
