position,№,wikipedia_link,Bakan,Görev Başlangıcı,Görev Bitişi,Parti,column_5,Bakan Yardımcısı,birth_year,birth_place,birth_date
Minister of Justice,38,https://tr.wikipedia.org/wiki/%C5%9Eevket_Kazan,Şevket Kazan,26 Ocak 1974,17 Kasım 1974,,Millî Selamet Partisi,,1933,"[1], [2], Adapazarı, Sakarya","7 Aralık 1933(1933-12-07)[1][2]Adapazarı, Sakarya"
Minister of Justice,(37),https://tr.wikipedia.org/wiki/Mehmet_Hayri_Mumcuo%C4%9Flu,Mehmet Hayri Mumcuoğlu,17 Kasım 1974,31 Mart 1975,,Cumhuriyet Halk Partisi,,,,
Minister of Justice,39,https://tr.wikipedia.org/wiki/%C4%B0smail_M%C3%BCft%C3%BCo%C4%9Flu,İsmail Müftüoğlu,31 Mart 1975,11 Nisan 1977,,Millî Selamet Partisi,,1939,Türkiye,"1939 (86-87 yaşında)Of, Türkiye"
Minister of Justice,40,https://tr.wikipedia.org/wiki/Zeyyat_Baykara,Zeyyat Baykara,11 Nisan 1977,21 Haziran 1977,,Bağımsız,,1915,"Erzincan, Osmanlı İmparatorluğu","1915Erzincan, Osmanlı İmparatorluğu"
Minister of Justice,41,https://tr.wikipedia.org/wiki/Sel%C3%A7uk_Erverdi,Selçuk Erverdi,21 Haziran 1977,21 Temmuz 1977,,Cumhuriyet Halk Partisi,,1927,"Erzurum, Türkiye","1927Erzurum, Türkiye"
Minister of Justice,42,https://tr.wikipedia.org/wiki/Necmettin_Cevheri,Necmettin Cevheri,21 Temmuz 1977,5 Ocak 1978,,Adalet Partisi,,1930,"kaynak belirtilmeli, Şanlıurfa, Türkiye","30 Haziran 1930(1930-06-30)[kaynak belirtilmeli]Şanlıurfa, Türkiye"
Minister of Justice,43,https://tr.wikipedia.org/wiki/Mehmet_Can,Mehmet Can,5 Ocak 1978,12 Kasım 1979,,Cumhuriyet Halk Partisi,,1927,"İslahiye, Gaziantep","1927İslahiye, Gaziantep"
Minister of Justice,44,https://tr.wikipedia.org/wiki/%C3%96mer_Ucuzal,Ömer Ucuzal,12 Kasım 1979,12 Eylül 1980,,Adalet Partisi,,1922,Malatya,1922Malatya
Minister of Justice,45,https://tr.wikipedia.org/wiki/Cevdet_Mente%C5%9F,Cevdet Menteş,21 Eylül 1980,8 Şubat 1983,,Askerî,,1915,Bitlis,1915Bitlis
Minister of Justice,46,https://tr.wikipedia.org/wiki/R%C4%B1fat_Bayaz%C4%B1t,Rıfat Bayazıt,8 Şubat 1983,13 Mayıs 1983,,,,1912,Kahramanmaraş,1912Kahramanmaraş
Minister of Justice,47,https://tr.wikipedia.org/wiki/Mustafa_Kaz%C4%B1m_Akdo%C4%9Fan,Mustafa Kazım Akdoğan,21 Mayıs 1983,13 Aralık 1983,,,,1914,Kastamonu,1914Kastamonu
